enemy_distance,enemy_bearing,enemy_velocity,my_energy,enemy_energy,wall_distance,wall_bearing,turn_rate,move_distance,fire_power
342.97230909259065,45.60147346539348,0.0,100.0,100.0,106.763048605976,-127.36189899652902,135.6014734653935,60.0,2.0
470.48853829440617,36.567030517388794,0.0,100.0,100.0,106.763048605976,-127.36189899652902,126.56703051738879,60.0,1.0
341.1790789603578,35.66611739256259,1.0,100.0,100.0,107.49869541600503,-137.361898996529,125.6661173925626,60.0,2.0
469.5943395326146,26.621599373186854,0.0,100.0,100.0,107.49869541600503,-137.361898996529,116.62159937318685,60.0,1.0
467.68594385800657,17.444753920779156,0.0,100.0,100.0,109.16861975053439,-146.61189899652902,107.44475392077916,60.0,1.0
465.5152677341555,8.927151921923734,1.0,100.0,100.0,111.89001405266958,-155.111898996529,98.92715192192374,60.0,1.0
463.27816044884037,1.0701149801092247,2.0,100.0,100.0,115.71240313349722,-162.86189899652896,91.07011498010922,60.0,1.0
461.1322822965949,-6.119571333014237,3.0,100.0,100.0,120.63433486121585,-169.86189899652902,83.88042866698576,60.0,1.0
459.1927426091904,-12.63146394075707,4.0,100.0,100.0,126.62052515627295,-176.11189899652902,77.36853605924293,60.0,1.0
456.9258959150034,-18.44758437836727,4.391997465544041,100.0,100.0,133.61775521995094,178.38810100347098,71.55241562163273,60.0,1.0
453.825119705515,-23.571595066122136,4.246969232760582,100.0,100.0,141.56848981936128,173.63810100347098,66.42840493387786,-60.0,1.0
450.7274971380862,-27.876315678462394,2.2469692327605824,100.0,100.0,147.47063759770379,169.63810100347098,62.12368432153761,-60.0,1.0
447.6266317676296,-33.6480286654625,0.24696923276058236,100.0,100.0,151.31833070359232,164.13810100347092,56.3519713345375,-60.0,1.0
445.3417891269171,-40.86935415699482,-0.8765153836197088,100.0,100.0,153.16121863281194,157.13810100347092,49.13064584300518,-60.0,1.0
443.86471374483733,-49.51850699788404,-1.8765153836197088,100.0,100.0,153.16121863281194,148.63810100347092,40.48149300211596,-60.0,1.0
442.4026971187631,-59.67823559979238,-2.876515383619709,100.0,100.0,152.4106679646393,138.63810100347098,30.32176440020762,-60.0,1.0
217.3170854329064,-62.856682461408276,8.0,100.0,100.0,151.14152792307436,129.38810100347098,27.143317538591724,-60.0,2.0
440.88641825802597,-69.09711261264064,-3.876515383619709,100.0,100.0,151.14152792307436,129.38810100347098,20.902887387359357,60.0,1.0
209.6077487859667,-71.93033366159601,8.0,100.0,100.0,151.14152792307436,120.88810100347104,18.06966633840399,60.0,2.0
438.61909551479266,-78.15963022409835,-4.876515383619709,100.0,100.0,151.14152792307436,120.88810100347104,11.84036977590165,60.0,1.0
201.74809256826717,-82.7842331448695,8.0,100.0,100.0,151.49807190223078,110.88810100347098,7.2157668551304965,60.0,2.0
436.521259466706,-89.01054350808643,-5.876515383619709,100.0,100.0,151.49807190223078,110.88810100347098,0.9894564919135718,60.0,1.0
193.80950952283163,-84.93476200759554,8.0,100.0,100.0,152.17878651228932,109.89864451155739,5.065237992404462,60.0,3.0
434.86946812394984,-91.14017979159071,-6.876515383619709,100.0,100.0,152.17878651228932,109.89864451155739,-1.140179791590711,60.0,1.0
185.7695921077102,-85.29060424396125,8.0,100.0,100.0,153.2557879296338,111.03882430314815,4.709395756038745,60.0,3.0
433.8181308012989,-91.42479408785603,-7.876515383619709,100.0,100.0,153.2557879296338,111.03882430314815,-1.4247940878560286,60.0,1.0
177.6501916260514,-85.7402220950669,8.0,100.0,100.0,154.78417477475273,112.46361839100416,4.259777904933102,60.0,3.0
433.5458558875423,-91.58449042448991,-8.0,100.0,100.0,154.78417477475273,112.46361839100416,-1.584490424489914,60.0,1.0
169.4934264422695,-86.46082112447418,8.0,100.0,100.0,156.82169259802356,114.048108815494,3.5391788755258204,60.0,3.0
434.0817172137599,-91.71520431207746,-8.0,100.0,100.0,156.82169259802356,114.048108815494,-1.7152043120774607,60.0,1.0
161.36599928318438,-87.54386946411712,8.0,100.0,100.0,159.42961977823325,115.76331312757151,2.4561305358828776,60.0,3.0
435.43985669970965,-91.83179173069155,-8.0,100.0,100.0,159.42961977823325,115.76331312757151,-1.831791730691549,60.0,1.0
153.3666264194605,-89.07698066005325,8.0,100.0,100.0,162.6721620143005,117.59510485826303,0.9230193399467481,60.0,3.0
437.6233032488025,-91.93316032540888,-8.0,100.0,100.0,162.6721620143005,117.59510485826303,-1.9331603254088776,60.0,1.0
145.63609570074965,-91.15905660471999,8.0,100.0,100.0,166.61498493022145,119.52826518367192,-1.1590566047199928,60.0,3.0
440.6231782612647,-92.01867793693503,-8.0,100.0,100.0,166.61498493022145,119.52826518367192,-2.0186779369350347,60.0,1.0
138.04951129562062,-90.16613778814076,8.0,99.4,100.0,166.61498493022145,121.54694312060701,-0.16613778814075886,60.0,3.0
443.64297997222803,-90.79041383548463,0.0,99.4,97.0,166.61498493022145,121.54694312060701,-0.7904138354846282,60.0,1.0
130.44133553036795,-91.62843423215915,8.0,99.4,100.0,167.1381818978216,121.54694312060701,-1.628434232159151,60.0,3.0
443.65790163997906,-90.91954570912303,0.0,99.4,97.0,167.1381818978216,121.54694312060701,-0.9195457091230281,60.0,1.0
122.85816797018234,-92.68500009061344,8.0,99.4,100.0,168.21179436475757,122.46648882973,-2.6850000906134426,60.0,3.0
443.6624095949412,-90.25828635616317,0.0,99.4,97.0,168.21179436475757,122.46648882973,-0.2582863561631683,60.0,1.0
115.41283458521028,-95.01091632402667,8.0,99.4,100.0,169.83360680405065,122.72477518589312,-5.010916324026667,60.0,3.0
